True,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SP.POP.1519.FE.5Y,1.0,0.9522719080573321,0.8990247597088352,0.8406017492835005,0.7757441823924198,0.7041575513477989,0.6184170182812441,0.5252062435268301,0.43671313548823854,0.367156619561817,0.321514422817061,0.2940277981650521,0.28294006150413775,0.28051147105086294,0.2766749312487793,0.2661548549381818,0.2434003252205854,0.21975538125851335,0.19436095041748214,0.16674739075814404,0.1374469987542568,0.10702190636978992,0.07246540007985436,0.03952230784606625,0.015873988067905298,0.004524148953783502,0.0,0.0072602368498615455,0.01810607718075552,0.01991860929591427,0.005550002902048323
SP.POP.0014.MA.IN,0.0,0.04760789095426965,0.08595876325683527,0.12093295288292083,0.1614274928152506,0.21131158769071323,0.26231069755987857,0.32276263776292424,0.38906926175575496,0.4548183782517352,0.5168060292896648,0.5803268259439358,0.6448814056713559,0.7070751292656379,0.7633089951098384,0.8112982485542855,0.8608386041448801,0.8951415615853389,0.9196753117381835,0.9425844234799579,0.9671481011824801,0.9750087858735119,0.9883051686588438,1.0,0.998857622675164,0.9792148892124866,0.9529213991385994,0.9064105666482254,0.8454002638754803,0.7806267854989901,0.7183988589907919
SP.POP.TOTL.MA.ZS,1.0,0.9860366194577068,0.9585853439304657,0.9213431536913816,0.8793466418693754,0.8361532789595856,0.7926761196512331,0.7477495309845494,0.7003010455348715,0.6487732430042712,0.5924609913850674,0.5317802140602623,0.46850537222006494,0.40414742416194827,0.3405606244627677,0.2794054770803598,0.22054965071330912,0.16453465196946127,0.1141938421104669,0.07290603869836332,0.04263546808148533,0.02425164351343767,0.0162464788718637,0.015031152254309177,0.01589952860547328,0.015540661832361025,0.013510295703440534,0.010806605811609415,0.007414549076557364,0.0036283037473907598,0.0
SP.POP.65UP.TO.ZS,0.0,0.017171740887507614,0.03394631063959097,0.050693955309938366,0.06766060806981922,0.08531110894681881,0.10804510963047842,0.13062430995054264,0.15367408655257364,0.17795862785672,0.20391576932728506,0.23292923430557821,0.26196079561757757,0.29165871218889006,0.32277417899604344,0.3558210926428733,0.3910729171943401,0.4286344081128901,0.4677407396316695,0.5070600220874608,0.5461827022631667,0.587259953944095,0.6274380756273739,0.6677243792317857,0.7094950031231011,0.7537905991591052,0.7960290134670065,0.8408276676771838,0.8891822538100889,0.9419255779787279,1.0
SP.POP.0509.FE.5Y,0.9999999999999996,0.946572338932357,0.9220492670421914,0.9208496915970406,0.9268856652560458,0.9194817889745655,0.9045499044269301,0.8789594052193577,0.8425575562129604,0.7998219115891105,0.7575896188002198,0.7218579426572442,0.6829898692589822,0.6424656236244379,0.60312886362088,0.5678698916069531,0.5403276809805297,0.5245610680384307,0.517242755060006,0.5096004016175897,0.49067206983587797,0.4615076897942232,0.4168071348293392,0.358286672578632,0.2937747186126902,0.23377687809261216,0.18032781975654144,0.13297911233582616,0.09060804720427829,0.04837812106438566,0.0
SP.POP.TOTL.MA.IN,0.0,0.03312742462979723,0.06654869240928551,0.1001976886297844,0.13400762048303738,0.16793260323105397,0.20189736782087508,0.23590021900355973,0.2700614064372897,0.3045559928293229,0.339491230929297,0.3749013647658104,0.41069123436500155,0.4466627216340211,0.4825468470743055,0.5181416500287399,0.553321908108918,0.5881007312399797,0.6225755397277066,0.6569116768520991,0.6911989908070042,0.7254769243844381,0.7596090665529871,0.7932858648561105,0.8260997814485067,0.857761154794537,0.8883522609761154,0.9180089459416758,0.9465867744814853,0.9739137353363791,0.9999999999999998
SP.POP.7074.MA.5Y,0.0,0.029356679311696166,0.06633079378639084,0.10422981587382485,0.13453404726710527,0.15461286734725044,0.1645438405580506,0.16743485016173665,0.16966990322661513,0.1786845519203426,0.19798891520796724,0.21908331055304653,0.24502256273806533,0.27599453215839853,0.31258462301765766,0.35541428167901823,0.39695393751245,0.44437133443934207,0.4951820618043812,0.5464911986284295,0.5974120799198066,0.6409792755699222,0.6841263505865776,0.7267628825679027,0.7694800932793298,0.8133198163287583,0.8433385956572454,0.8778976529241627,0.9162966953828469,0.9569703461159578,1.0
SP.RUR.TOTL,0.0,0.05616740281831056,0.10635412324075588,0.14921274870404133,0.18371952710392492,0.2094100760426194,0.28358285092093993,0.3728462947034039,0.4560287917086647,0.5357372158516256,0.6119838803019206,0.6861126795743893,0.7550699475986704,0.8197439916129738,0.8762614402538631,0.9227137522273665,0.9569900984525894,0.9820122181823301,0.9957906550078555,1.0,0.995906750607304,0.9838503985069416,0.9624606638205684,0.9301280393740008,0.885589545767175,0.8277229255387475,0.7578122663795952,0.6780035778552929,0.5869881459356883,0.4840271804424674,0.3704716119874014
SP.POP.GROW,1.0,0.9857694132823102,0.9731873108979255,0.9546020977206079,0.9291125330635405,0.8992858273673604,0.8659974553705932,0.834892048503059,0.8117638262058734,0.7991314595072826,0.7924303789589945,0.7869711829110205,0.7756546917673203,0.7544714937205858,0.7206842875253309,0.6781171311614528,0.6320338942811045,0.5878237239485219,0.5468129390333992,0.5108959440618578,0.47781254237861936,0.4462745215125269,0.4114686907981838,0.3689376876955558,0.3166255070541172,0.2584016526069949,0.2056703086084074,0.1588050261008097,0.10842488692755203,0.05342437561618785,0.0
SP.POP.6064.FE.5Y,0.0,0.005919306510816513,0.022629519825434263,0.04724638574825346,0.07571697216224194,0.10564784994283749,0.13206194909590208,0.16047604752266564,0.1903815788523402,0.22135259602890067,0.25273524762236055,0.27724436802608743,0.3021970462935464,0.3267758573238564,0.3499230419872714,0.3711566890050133,0.3837158512793766,0.3976043322675693,0.4131078154192991,0.430580782152697,0.4506337134078655,0.4714606670298991,0.4950748350963392,0.5244315701409326,0.5637739512022923,0.6153239491856595,0.6699875377772289,0.7359358797122115,0.8131693174972936,0.9014770780563026,1.0
